GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059001101,2433,9,325,945,1154,32,0,0,23,9,273,14,185,190,253,32,17,17,26,15
06059001102,1740,10,188,664,878,30,0,0,12,18,168,16,94,153,188,28,12,12,19,21
06059001103,2025,0,256,803,966,61,0,12,49,0,301,12,114,187,368,61,12,21,57,12
06059001201,2674,61,307,984,1322,46,0,0,23,23,283,55,125,260,313,52,17,17,37,36
06059001202,1727,57,147,701,822,29,0,29,0,0,215,46,77,181,189,33,12,33,12,12
06059001301,3106,16,421,1415,1254,74,0,0,64,10,327,25,145,340,360,56,17,17,53,18
06059001303,3178,39,380,1362,1397,46,0,0,20,26,269,37,123,264,335,42,17,17,23,37
06059001304,1748,145,211,516,876,14,0,0,0,14,257,190,90,170,258,23,12,12,12,23
06059001401,2107,90,311,749,957,51,22,18,11,0,250,97,132,242,216,59,44,28,19,12
06059001402,2508,0,154,1351,1003,54,0,0,54,0,281,17,73,345,290,61,17,17,61,17
06059001403,1443,0,101,399,943,0,0,0,0,0,161,12,63,114,176,12,12,12,12,12
06059001404,1834,0,176,589,1069,41,0,0,41,0,233,12,77,241,261,64,12,12,64,12
06059001501,2515,0,258,1352,905,61,0,0,44,17,279,17,108,294,254,63,17,17,59,28
06059001503,2420,87,196,1297,840,0,0,0,0,0,256,90,85,220,258,17,17,17,17,17
06059001504,2421,47,484,645,1245,64,20,0,30,14,297,48,128,160,327,42,22,12,26,27
06059001505,4032,17,334,1662,2019,80,0,18,37,25,338,28,205,332,456,59,17,29,41,41
06059001506,1953,17,161,676,1099,9,0,0,9,0,258,26,68,140,338,16,12,12,16,12
06059001507,2820,35,596,1115,1074,0,0,0,0,0,260,38,160,247,335,12,12,12,12,12
06059001601,3504,37,254,1758,1455,72,20,3,37,12,295,61,141,339,294,55,33,9,38,20
06059001602,2332,6,213,910,1203,60,0,8,24,28,180,10,81,171,224,36,12,13,29,26
06059001704,3661,17,315,1593,1736,77,0,11,38,28,359,25,120,276,413,64,17,18,50,32
06059001705,1884,52,287,688,857,20,0,0,11,9,199,52,94,201,165,23,12,12,18,16
06059001706,1657,0,148,486,1023,30,0,0,13,17,262,12,75,178,254,30,12,12,20,23
06059001707,3625,143,287,1376,1819,30,0,0,30,0,362,175,179,258,383,49,17,17,49,17
06059001708,1688,10,200,396,1082,13,0,0,13,0,214,14,123,141,248,24,12,12,24,12
06059001801,2577,92,463,1077,945,177,0,114,63,0,337,91,170,270,303,134,17,116,69,17
06059001802,3737,123,453,1421,1740,47,0,0,47,0,374,81,184,429,409,73,17,17,73,17
06059001901,1320,15,111,566,628,23,0,3,20,0,98,20,54,122,124,18,12,8,17,12
06059001902,1596,19,110,601,866,15,0,6,0,9,106,29,60,145,176,18,12,9,12,15
06059001903,1660,32,99,542,987,10,0,5,0,5,169,30,50,151,185,12,12,9,12,9
06059011000,2751,23,474,1097,1157,39,0,0,39,0,359,36,158,249,352,45,17,17,45,17
06059011101,2221,59,329,785,1048,9,0,0,9,0,270,73,125,268,274,15,12,12,15,12
06059011102,2018,12,92,602,1312,41,12,0,0,29,226,19,48,162,266,31,19,12,12,24
06059011200,1935,69,269,847,750,66,9,27,14,16,199,65,82,150,267,44,15,26,19,25
06059011300,2830,58,463,1506,803,94,45,17,12,20,391,46,177,319,361,63,45,30,18,34
06059011401,1058,0,153,512,393,18,0,0,10,8,135,12,65,141,131,16,12,12,12,12
06059011402,1300,0,84,487,729,16,0,0,10,6,163,12,36,110,209,15,12,12,12,9
06059011403,3133,87,481,1443,1122,101,0,24,37,40,313,69,156,303,296,47,17,29,31,32
06059011502,2271,100,400,902,869,67,35,24,8,0,184,64,117,163,203,43,33,28,13,12
06059011503,909,22,58,229,600,77,22,5,21,29,147,32,37,59,167,51,32,7,20,34
06059011504,2692,66,777,1118,731,15,15,0,0,0,459,55,226,423,414,24,24,17,17,17
06059011601,3302,110,768,1190,1234,236,0,85,115,36,417,112,272,389,408,170,17,136,101,40
06059011602,2370,25,534,861,950,83,0,38,39,6,359,29,246,265,396,65,17,39,47,13
06059011707,3089,35,909,1124,1021,34,0,0,34,0,326,58,252,226,313,43,17,17,43,17
06059011708,2436,44,412,1083,897,20,0,8,12,0,240,54,117,277,285,23,12,12,19,12
06059011709,2372,0,42,1051,1279,19,0,0,8,11,187,12,39,208,218,22,12,12,13,18
06059011710,1582,0,33,742,807,34,0,0,22,12,156,12,28,193,194,30,12,12,23,18
06059011711,4261,155,1072,1730,1304,136,0,86,50,0,352,153,307,382,396,112,17,99,54,17
06059011712,2522,12,445,897,1168,29,0,0,0,29,291,18,166,251,313,45,12,12,12,45
06059011714,539,0,159,345,35,3,0,0,3,0,88,12,45,88,37,6,12,12,6,12
06059011715,3018,19,147,1745,1107,0,0,0,0,0,245,31,72,326,283,17,17,17,17,17
06059011716,2666,19,166,960,1521,42,0,0,11,31,242,35,85,206,312,33,17,17,19,26
06059011717,1336,15,94,525,702,16,0,0,16,0,140,22,58,93,133,25,12,12,25,12
06059011718,1702,6,91,576,1029,0,0,0,0,0,187,9,59,133,202,12,12,12,12,12
06059011720,2590,49,366,1119,1056,60,0,28,32,0,246,42,152,200,292,42,17,26,36,17
06059011721,3063,35,979,1288,761,175,0,138,25,12,285,37,310,329,232,93,17,90,24,19
06059011722,998,0,146,484,368,28,0,0,0,28,107,12,71,165,153,42,12,12,12,42
06059021802,3059,0,594,991,1474,39,0,16,23,0,405,17,187,287,426,45,17,25,38,17
06059021807,2263,0,145,690,1428,16,0,0,0,16,263,12,74,158,337,26,12,12,12,26
06059021809,1638,16,129,463,1030,0,0,0,0,0,170,18,82,122,199,12,12,12,12,12
06059021810,1785,6,127,612,1040,40,0,0,10,30,182,11,59,156,160,49,12,12,16,46
06059021812,3669,22,322,1388,1937,19,0,19,0,0,469,34,166,433,373,30,17,30,17,17
06059021813,4,0,0,4,0,0,0,0,0,0,6,12,12,6,12,12,12,12,12,12
06059021814,3885,0,563,1798,1524,45,0,19,10,16,447,17,199,502,408,43,17,31,18,25
06059021815,5721,213,433,3031,2044,115,25,0,45,45,453,174,182,458,470,71,39,19,47,50
06059021816,2410,7,173,1065,1165,8,0,0,8,0,182,12,94,186,195,13,12,12,13,12
06059021817,1873,0,125,873,875,0,0,0,0,0,162,12,61,134,200,12,12,12,12,12
06059021820,2187,0,82,1005,1100,0,0,0,0,0,207,12,55,213,202,12,12,12,12,12
06059021821,4716,39,463,2179,2035,51,0,28,23,0,423,51,177,361,549,48,17,31,37,17
06059021822,4420,90,138,1929,2263,0,0,0,0,0,323,60,101,380,465,17,17,17,17,17
06059021823,2061,0,90,758,1213,9,0,0,0,9,177,12,78,162,231,15,12,12,12,15
06059021824,1208,0,0,383,825,0,0,0,0,0,105,12,12,75,117,12,12,12,12,12
06059021825,1439,0,24,441,974,0,0,0,0,0,190,12,27,140,198,12,12,12,12,12
06059021826,1454,25,226,739,464,0,0,0,0,0,149,32,77,158,148,12,12,12,12,12
06059021827,1380,13,49,627,691,0,0,0,0,0,171,16,39,175,142,12,12,12,12,12
06059021828,2186,52,122,699,1313,0,0,0,0,0,238,53,76,149,240,12,12,12,12,12
06059021829,2451,0,59,877,1515,11,0,0,0,11,289,17,42,173,329,16,17,17,17,16
06059021830,3107,0,136,962,2009,21,0,0,21,0,279,17,81,258,381,34,17,17,34,17
06059021903,2039,19,91,824,1105,9,0,0,0,9,252,30,54,218,301,16,12,12,12,16
06059021905,2751,7,113,891,1740,12,0,0,7,5,241,11,71,169,241,16,17,17,12,10
06059021912,2182,0,129,793,1260,0,0,0,0,0,158,12,68,150,198,12,12,12,12,12
06059021913,3697,27,281,1251,2138,80,0,21,26,33,311,42,155,292,422,65,17,35,25,42
06059021914,2082,25,157,563,1337,48,0,0,39,9,279,28,73,161,330,35,12,12,35,13
06059021915,1870,23,130,845,872,14,0,0,7,7,186,35,59,153,192,17,12,12,12,11
06059021916,1446,21,116,664,645,0,0,0,0,0,153,32,74,152,154,12,12,12,12,12
06059021917,1561,11,40,458,1052,14,0,0,14,0,227,16,33,124,261,21,12,12,21,12
06059021918,2463,43,221,924,1275,7,0,7,0,0,345,68,78,180,348,11,12,11,12,12
06059021919,1313,0,62,575,676,0,0,0,0,0,115,12,36,106,133,12,12,12,12,12
06059021920,3527,40,336,1725,1426,0,0,0,0,0,286,65,148,313,342,17,17,17,17,17
06059021921,2306,0,54,1101,1151,53,0,0,53,0,245,12,41,324,269,73,12,12,73,12
06059021922,2790,56,560,1056,1118,21,0,0,21,0,321,71,165,217,325,35,12,12,35,12
06059021923,3808,0,533,1786,1489,12,0,0,12,0,263,17,201,338,366,20,17,17,20,17
06059021924,2158,10,185,894,1069,9,0,0,9,0,189,15,92,182,211,14,12,12,14,12
06059032002,3451,0,336,1545,1570,12,0,0,0,12,377,17,156,325,333,21,17,17,17,21
06059032003,2502,11,93,986,1412,51,0,6,8,37,200,17,54,218,279,44,12,9,12,42
06059032011,799,0,56,296,447,0,0,0,0,0,166,12,38,125,133,12,12,12,12,12
06059032012,1866,0,172,550,1144,19,0,0,0,19,229,12,105,126,256,28,12,12,12,28
06059032013,2213,25,312,1079,797,32,0,0,12,20,366,41,148,286,291,50,17,17,20,46
06059032014,3009,0,366,1375,1268,134,0,44,70,20,400,17,210,356,327,122,17,66,103,23
06059032015,3211,70,176,1179,1786,36,24,0,0,12,236,91,71,260,335,41,29,17,17,19
06059032020,3379,66,106,1383,1824,50,11,0,15,24,273,63,53,211,283,48,16,17,23,38
06059032022,3593,77,391,1316,1809,29,0,0,29,0,523,84,145,498,496,48,17,17,48,17
06059032023,6877,63,337,3782,2695,65,31,0,34,0,519,98,184,554,502,73,49,19,57,19
06059032027,3681,69,572,1430,1610,28,0,0,16,12,403,64,162,263,479,28,17,17,21,19
06059032028,2024,49,465,788,722,42,17,25,0,0,286,46,179,164,305,34,21,26,12,12
06059032029,2278,42,136,1131,969,15,0,0,0,15,185,58,61,175,211,23,12,12,12,23
06059032030,2238,23,105,689,1421,43,0,0,0,43,221,40,67,209,286,33,12,12,12,33
06059032031,1905,0,172,804,929,16,0,0,0,16,198,12,87,152,200,19,12,12,12,19
06059032032,1627,7,32,445,1143,0,0,0,0,0,172,11,30,117,187,12,12,12,12,12
06059032033,2090,28,307,1137,618,40,0,40,0,0,218,44,95,228,186,49,12,49,12,12
06059032034,3016,0,60,1189,1767,0,0,0,0,0,238,17,37,188,240,17,17,17,17,17
06059032035,1130,0,164,399,567,18,0,0,18,0,135,12,57,97,129,27,12,12,27,12
06059032036,1700,25,135,762,778,0,0,0,0,0,185,32,66,145,178,12,12,12,12,12
06059032037,1729,12,317,320,1080,0,0,0,0,0,289,23,150,137,242,12,12,12,12,12
06059032038,3210,33,143,1492,1542,10,0,0,0,10,289,47,98,280,285,17,17,17,17,17
06059032039,3462,0,494,1232,1736,0,0,0,0,0,337,17,222,408,365,17,17,17,17,17
06059032040,1195,13,31,442,709,11,0,0,5,6,124,19,20,83,124,13,12,12,8,10
06059032041,558,33,36,178,311,0,0,0,0,0,105,25,25,84,100,12,12,12,12,12
06059032042,2949,22,129,1159,1639,0,0,0,0,0,310,25,74,188,327,17,17,17,17,17
06059032043,1844,0,84,661,1099,24,0,0,11,13,189,12,39,129,222,27,12,12,17,21
06059032044,2847,28,112,1090,1617,14,0,0,0,14,277,31,87,187,261,22,17,17,17,22
06059032045,1902,0,114,623,1165,6,0,0,0,6,124,12,59,110,175,10,12,12,12,10
06059032046,2875,0,65,1301,1509,8,0,0,0,8,281,17,44,186,294,12,17,17,17,12
06059032047,3042,19,529,1481,1013,44,0,0,44,0,230,21,133,274,294,54,12,12,54,12
06059032048,3088,28,277,1338,1445,0,0,0,0,0,331,45,124,299,309,17,17,17,17,17
06059032049,5475,0,516,2516,2443,36,0,0,0,36,456,17,159,686,609,59,17,17,17,59
06059032050,2852,9,269,1310,1264,0,0,0,0,0,228,16,88,224,227,17,17,17,17,17
06059032051,2550,114,583,1437,416,74,48,15,11,0,237,152,167,255,171,76,74,18,17,12
06059032053,4511,0,529,2421,1561,0,0,0,0,0,349,17,168,407,376,17,17,17,17,17
06059032054,2819,19,733,1512,555,0,0,0,0,0,328,29,182,282,285,17,17,17,17,17
06059032055,2177,93,346,1007,731,0,0,0,0,0,275,67,101,248,306,12,12,12,12,12
06059032056,5328,266,432,2954,1676,12,0,12,0,0,411,165,155,488,381,20,19,20,19,19
06059032057,3839,33,370,1718,1718,43,20,0,0,23,311,36,119,322,354,38,18,17,17,35
06059032058,3445,0,306,1767,1372,0,0,0,0,0,221,17,159,255,295,17,17,17,17,17
06059032059,4962,150,593,3056,1163,18,18,0,0,0,349,144,186,421,451,32,32,19,19,19
06059032061,2137,68,59,800,1210,0,0,0,0,0,237,71,47,188,272,17,17,17,17,17
06059042103,4124,5,657,1818,1644,121,0,21,100,0,351,16,242,357,408,85,17,33,78,17
06059042106,750,0,50,353,347,6,0,6,0,0,120,12,38,92,119,9,12,9,12,12
06059042107,1881,81,313,925,562,57,0,0,42,15,287,64,103,252,197,62,12,12,54,25
06059042108,2800,108,920,1007,765,79,0,79,0,0,487,111,305,269,438,80,12,80,12,12
06059042109,2846,63,336,1275,1172,52,0,0,52,0,339,84,134,275,420,67,17,17,67,17
06059042111,2812,0,241,1253,1318,32,0,0,13,19,314,17,154,258,280,40,17,17,23,31
06059042112,3206,33,138,1676,1359,0,0,0,0,0,356,46,89,306,380,17,17,17,17,17
06059042113,2038,124,208,675,1031,0,0,0,0,0,248,108,96,199,236,12,12,12,12,12
06059042114,1898,18,300,710,870,70,0,10,18,42,263,31,125,182,211,54,12,14,21,48
06059042201,2842,140,393,879,1430,31,0,0,0,31,576,111,163,294,505,49,17,17,17,49
06059042203,3422,51,219,1446,1706,0,0,0,0,0,463,52,91,379,420,17,17,17,17,17
06059042205,3619,17,409,1071,2122,0,0,0,0,0,414,26,259,307,465,17,17,17,17,17
06059042206,1670,10,215,747,698,0,0,0,0,0,162,16,87,174,193,12,12,12,12,12
06059042305,1454,0,166,601,687,0,0,0,0,0,173,12,78,142,154,12,12,12,12,12
06059042307,3410,93,342,1313,1662,16,0,0,16,0,456,93,171,362,432,26,17,17,26,17
06059042310,3618,58,562,1584,1414,16,0,0,16,0,392,70,198,354,387,25,17,17,25,17
06059042311,2953,12,99,1206,1636,30,0,12,0,18,341,19,82,293,377,32,17,19,17,25
06059042312,4593,14,229,1471,2879,279,0,0,172,107,598,22,105,438,723,234,17,17,204,125
06059042313,3869,96,1241,1624,908,156,44,37,56,19,455,111,366,471,312,107,70,50,66,31
06059042315,3240,73,397,1449,1321,0,0,0,0,0,367,88,177,289,340,17,17,17,17,17
06059042317,1358,16,189,561,592,29,0,0,0,29,172,26,82,116,136,46,12,12,12,46
06059042319,1484,0,104,575,805,0,0,0,0,0,190,12,56,169,211,12,12,12,12,12
06059042320,3855,305,582,2209,759,85,85,0,0,0,342,257,139,308,254,106,106,17,17,17
06059042323,2349,0,314,1175,860,19,0,19,0,0,299,12,125,290,291,29,12,29,12,12
06059042324,2155,132,446,1033,544,124,0,27,97,0,401,126,176,481,171,152,12,47,147,12
06059042325,1875,0,308,1016,551,35,0,27,0,8,183,12,98,176,170,35,12,31,12,14
06059042326,2548,73,251,1134,1090,28,9,19,0,0,273,68,106,217,307,33,13,30,12,12
06059042327,2442,0,158,993,1291,25,0,0,0,25,254,17,69,219,265,25,17,17,17,25
06059042328,1079,6,24,333,716,8,0,0,0,8,111,9,19,81,102,9,12,12,12,9
06059042329,2026,0,158,721,1147,0,0,0,0,0,256,12,77,206,241,12,12,12,12,12
06059042330,3101,20,499,1512,1070,0,0,0,0,0,371,32,182,317,369,17,17,17,17,17
06059042331,3403,18,771,1206,1408,67,0,15,11,41,306,29,257,331,414,60,17,24,19,51
06059042332,2744,72,299,1389,984,0,0,0,0,0,280,82,105,295,312,17,17,17,17,17
06059042333,2019,6,335,615,1063,34,0,12,0,22,232,10,141,166,243,29,12,20,12,23
06059042334,2679,0,438,989,1252,0,0,0,0,0,291,17,137,329,360,17,17,17,17,17
06059042335,3464,32,252,2117,1063,0,0,0,0,0,390,51,100,388,353,17,17,17,17,17
06059042336,2171,7,158,1160,846,27,0,0,22,5,191,11,77,161,187,26,12,12,24,10
06059042337,1841,17,196,611,1017,0,0,0,0,0,212,20,86,156,214,12,12,12,12,12
06059042338,2049,19,432,994,604,0,0,0,0,0,235,22,112,234,144,12,12,12,12,12
06059042339,1907,0,308,912,687,75,0,0,30,45,238,12,139,192,216,62,12,12,43,45
06059052404,1804,18,72,1194,520,0,0,0,0,0,420,29,64,382,258,12,12,12,12,12
06059052408,3514,54,180,1048,2232,63,0,0,0,63,513,67,104,280,556,99,17,17,17,99
06059052410,2790,60,450,1087,1193,36,16,0,0,20,355,67,150,259,385,43,28,17,17,33
06059052411,2796,16,152,861,1767,23,0,0,23,0,254,24,132,279,360,37,17,17,37,17
06059052415,2021,0,85,750,1186,0,0,0,0,0,158,12,51,206,206,12,12,12,12,12
06059052416,2394,0,163,790,1441,80,0,0,30,50,345,12,84,236,456,59,12,12,45,48
06059052417,3038,116,336,1581,1005,15,0,0,15,0,310,99,146,325,287,26,17,17,26,17
06059052418,11113,94,2719,6827,1473,27,0,0,27,0,721,97,507,692,527,43,23,23,43,23
06059052419,1794,0,115,1020,659,14,0,0,0,14,163,12,50,207,175,21,12,12,12,21
06059052420,10802,0,1637,5900,3265,65,0,0,0,65,999,23,640,934,838,105,23,23,23,105
06059052421,2861,0,484,1188,1189,27,0,0,10,17,273,17,120,215,312,29,17,17,15,26
06059052422,5042,133,778,2627,1504,23,0,0,9,14,340,95,276,435,390,28,17,17,16,22
06059052423,3453,67,570,1749,1067,0,0,0,0,0,376,82,192,378,418,17,17,17,17,17
06059052424,2473,51,409,1040,973,0,0,0,0,0,273,48,102,263,205,12,12,12,12,12
06059052425,3321,40,671,1643,967,87,22,36,29,0,346,46,228,479,338,76,35,59,46,17
06059052426,9768,16,1591,5422,2739,35,0,16,19,0,696,25,316,570,604,40,23,27,32,23
06059052427,3182,26,345,1361,1450,28,0,0,10,18,228,43,107,231,283,28,17,17,16,25
